start estate
iteration: 1; no improve: 1; solution: ({'kernel': 'poly', 'degree': 3, 'C': 97.01}, 0.5844783757844112, 'svm', 997); best solution: ({'kernel': 'poly', 'degree': 3, 'C': 97.01}, 0.5844783757844112, 'svm', 997)
iteration: 20; no improve: 11; solution: ({'kernel': 'poly', 'degree': 3, 'C': 99.01}, 0.5846913502747915, 'svm', 999); best solution: ({'n_estimators': 50, 'criterion': 'mae', 'min_samples_split': 6, 'min_samples_leaf': 4, 'bootstrap': True}, 0.7550887703025442, 'random forest', 510)
iteration: 21; no improve: 12; solution: ({'n_neighbors': 94, 'weights': 'distance', 'p': 1}, 0.6444229288215775, 'knn', 374); best solution: ({'n_estimators': 50, 'criterion': 'mae', 'min_samples_split': 6, 'min_samples_leaf': 4, 'bootstrap': True}, 0.7550887703025442, 'random forest', 510)
iteration: 22; no improve: 13; solution: ({'alpha': 0.2, 'fit_intercept': False, 'normalize': True}, 0.5899867684488642, 'ridge', 10); best solution: ({'n_estimators': 50, 'criterion': 'mae', 'min_samples_split': 6, 'min_samples_leaf': 4, 'bootstrap': True}, 0.7550887703025442, 'random forest', 510)
iteration: 23; no improve: 14; solution: ({'n_estimators': 20, 'criterion': 'mae', 'min_samples_split': 6, 'min_samples_leaf': 1, 'bootstrap': False}, 0.6716933251823296, 'random forest', 217); best solution: ({'n_estimators': 50, 'criterion': 'mae', 'min_samples_split': 6, 'min_samples_leaf': 4, 'bootstrap': True}, 0.7550887703025442, 'random forest', 510)
iteration: 24; no improve: 15; solution: ({'n_estimators': 20, 'criterion': 'mae', 'min_samples_split': 6, 'min_samples_leaf': 1, 'bootstrap': True}, 0.7346472778072081, 'random forest', 216); best solution: ({'n_estimators': 50, 'criterion': 'mae', 'min_samples_split': 6, 'min_samples_leaf': 4, 'bootstrap': True}, 0.7550887703025442, 'random forest', 510)
iteration: 25; no improve: 16; solution: ({'hidden_layer_sizes': 8, 'activation': 'identity'}, -35.40370479402966, 'neural network', 28); best solution: ({'n_estimators': 50, 'criterion': 'mae', 'min_samples_split': 6, 'min_samples_leaf': 4, 'bootstrap': True}, 0.7550887703025442, 'random forest', 510)
iteration: 26; no improve: 17; solution: ({'hidden_layer_sizes': 8, 'activation': 'tanh'}, -7.490397060873084, 'neural network', 30); best solution: ({'n_estimators': 50, 'criterion': 'mae', 'min_samples_split': 6, 'min_samples_leaf': 4, 'bootstrap': True}, 0.7550887703025442, 'random forest', 510)
iteration: 27; no improve: 18; solution: ({'hidden_layer_sizes': 9, 'activation': 'identity'}, 0.04608553766889789, 'neural network', 32); best solution: ({'n_estimators': 50, 'criterion': 'mae', 'min_samples_split': 6, 'min_samples_leaf': 4, 'bootstrap': True}, 0.7550887703025442, 'random forest', 510)
iteration: 28; no improve: 19; solution: ({'n_neighbors': 36, 'weights': 'distance', 'p': 1}, 0.6604109456059986, 'knn', 142); best solution: ({'n_estimators': 50, 'criterion': 'mae', 'min_samples_split': 6, 'min_samples_leaf': 4, 'bootstrap': True}, 0.7550887703025442, 'random forest', 510)
iteration: 29; no improve: 20; solution: ({'n_estimators': 100, 'criterion': 'mae', 'min_samples_split': 8, 'min_samples_leaf': 8, 'bootstrap': True}, 0.7414565938519471, 'random forest', 842); best solution: ({'n_estimators': 50, 'criterion': 'mae', 'min_samples_split': 6, 'min_samples_leaf': 4, 'bootstrap': True}, 0.7550887703025442, 'random forest', 510)
iteration: 30; no improve: 21; solution: ({'n_estimators': 100, 'criterion': 'mae', 'min_samples_split': 8, 'min_samples_leaf': 7, 'bootstrap': True}, 0.7476104082168005, 'random forest', 840); best solution: ({'n_estimators': 50, 'criterion': 'mae', 'min_samples_split': 6, 'min_samples_leaf': 4, 'bootstrap': True}, 0.7550887703025442, 'random forest', 510)
end estate
